Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Localización,Fecha UTC,Hora UTC
6/19/2017,12:17:43,3.3,15.03,-92.55,112,"15km al SUROESTE de HUIXTLA, CHIS",6/19/2017,12:17:43
6/19/2017,10:54:58,3.7,15.96,-98.14,5,"43km alSUR de PINOTEPA NACIONAL, OAX",6/19/2017,10:54:58
6/19/2017,10:52:58,3.6,15.85,-97.32,9,"22km al SURESTE de RIO GRANDE, OAX",6/19/2017,10:52:58
6/19/2017,10:37,3.3,15.02,-93.08,89,"51km al SUROESTE de MAPASTEPEC,CHIS",6/19/2017,10:37:12
6/19/2017,10:12:40,3.9,31.21,11423,10,"61km al NORESTE de SAN FELIPE, BC",6/19/2017,10:12:40
6/19/2017,10:12:18,3.7,16.03,-98.29,5,"43km al SUROESTE de PINOTEPA NACIONAL, OAX",6/19/2017,10:12:18
6/19/2017,09:09:21,3.8,14.05,-93.31,14,"143km al SUROESTE de CD HIDALGO,chis",6/19/2017,09:09:21
6/19/2017,08:34:38,3.6,16,-98.11,5,"38km al SUR de PINOTEPA  NACIONAL, OAX",6/19/2017,08:34:38
6/19/2017,08:24:34,3.7,17.55,-94.98,19,"36km al SUR de SAYULA DE ALEMAN,VER ",6/16/2017,08:24:34
6/19/2017,07:15:49,4.2,30.45,-113.92,29,"103km al SUROESTE de  PUERTO PENASCO, SON",6/19/2017,07:15:49
6/19/2017,05:59:14,4.2,13.98,-93.29,15,"145km al SUROESTE de CD HIDALGO, CHIS",6/19/2017,05:59:14
6/19/2017,05:11:48,3.9,15.92,-98.21,16,"50m al SUROESTE de PINOTEPA NACIONAL, OAX",6/19/2017,05:11:48
6/19/2017,04:26:40,4,14.16,-93.39,137,"145km al SUROESTE de CD HIDALGO, CHIS",6/19/2017,04:26:40
6/19/2017,04:18:57,3.4,18.63,103.17,28,"16km al SUR de COALCOMAN, MICH",6/19/2017,04:18:57
6/19/2017,03:14:59,3.7,16.24,-98.03,6,"11km al SUR de PINOTEPA NACIONAL,OAX",6/19/2017,03:14:59
6/19/2017,01:56:41,4,13.94,-93.51,15,"167km al SUROESTE de CD HIDALGO,CHIS ",6/19/2017,01:56:41
6/19/2017,01:29:43,3.8,16.68,-95.02,100,"16km al NORESTE de CD IXTEPEC, OAX",6/19/2017,01:29:43
6/19/2017,01:01:47,3.9,13.94,-93.23,7,"142km al SUROESTE de CD HIDALGO,CHIS",6/19/2017,01:01:47
6/19/2017,00:53:14,3.6,16.27,-98.44,5,"14km al SUROESTE de OMETEPEC,GRO",6/19/2017,00:53:14
6/18/2017,23:55:13,3.1,18.13,103.09,5,"72km al SUR de COALCOMAN,MICH",6/18/2017,11:55:13
6/18/2017,22:54:14,4.2,14.02,-93.32,10,145km al SUROESTE de CD HIDALGP,6/18/2017,10:54:14
6/18/2017,22:46:16,4,14.67,92.08,106,"8km al ESTE DE CD HIDALGO,CHIS",6/18/2017,10:23:53
